Glosa,INF activo,IMP activo,REM activo,REC activo,IMP medio,REM medio,verb type
amenazar,apáu̠nuk,apáu̠nè,apáwi̠',apáu̠né,apáwì̠r,apáwì̠ne̠,t.n.i
comprar,ta̠ú̠k,ta̠wè̠,tó̠,ta̠wé̠,tò̠r,tò̠ne̠,t.n.i
ver,sá̠ú̠k,sa̠wè̠,sú̠,sa̠wé̠,sù̠r,sù̠ne̠,t.n.i
escarbar/rascar,apàbiök,apàbiè,apàbi',apàbé,apàbìr,apàbìne̠,t.o.c
examinar/observar,wéblök,wéblè,wéblë',wéblé,wéblë̀r,wéblë̀ne̠,t.o.c
hacerle el baile funerario a X (=ABS),kalétök,kalétè,kalétë',kalété,kalétë̀r,kalétë̀ne̠,t.o.c
prometer,kàblök,kàblè,kàblë',kàblé,,kàblë̀ne̠,t.o.c
sembrar,kuátchök,kuátchè,kuátchë',kuátché,kuátchë̀r,kuátchë̀ne̠,t.o.c
señalar,kàchök,kàchè,kàyë',kàché,kàyë̀r,kàyë̀ne̠,t.o.c
transformar,yawö̀ök,yawèè,yö'a,yawèé,yö̀ra,yö̀neat,t.o.c
arreglar/poner bien,bua'ú̠k,bua'wè,bua'o̠',bua'wé,bua'ò̠r,bua'ò̠ne̠,t.n.c 
bañar a alguien,akuö̀ú̠k,akuö̀wè̠,akuö̀o̠',akuö̀wé̠,akuö̀ò̠r,akuö̀ò̠ne̠,t.n.c
conocer gente,wáksa̠ú̠k,wáksa̠wè̠,wáksu̠,wáksa̠wé̠,wáksu̠r,wáksù̠ne̠,t.n.c
descomponer/poner mal,sulùú̠k,sulùwé̠,sulùo̠',,sulùò̠r,sulùò̠ne̠,t.n.c
hacer,ka̠nèú̠k,ka̠nèwè̠,ka̠nèo̠',ka̠nèwé̠,ka̠nèò̠r,ka̠nèò̠ne̠,t.n.c
hacer,ka̠nú̠k,ka̠nè̠,ka̠nò̠,ka̠né̠,ka̠nò̠r,ka̠nò̠ne̠,t.n.c
hacer sonar/tocar instrumentos musicales,ulàú̠k,ulàwe̠,ulào̠',,ulào̠r,ulào̠ne̠,t.n.c
pagar,apàta̠ú̠k,apàta̠wè̠,apàtó̠,apàta̠wé̠,apàtò̠r,apàtò̠ne̠,t.n.c
secar,síú̠k,síwè̠,sío̠',síwé̠,síò̠r,síò̠ne̠,t.n.c
usar,wàka̠nèú̠k,wàka̠nèwè̠,wàka̠nèo̠',wàka̠nèwé̠,wàka̠nèo̠r,wàka̠nèo̠ne̠,t.n.c
vender,wàta̠ú̠k,wàta̠wè̠,wàtó̠,wàta̠wé̠,wàtò̠r,wàtò̠ne̠,t.n.c
acostar,tö́kwa̠,tèwa̠,të'wa̠,téwa̠,të̀rwa̠,të̀ne̠wa̠,t.o.d
cortar/partiendo en dos; derribar de golpe con algo redondo,tö́ka,tèa,të'a,téa,të̀ra,të̀ne̠a,t.o.d
dejar (a alguien),ö́kwa,èwa,a'wa,éwa,,ànèwa,t.o.d
levantar,kö́kka̠,kèka̠,ka'ka̠,kéka̠,kàrka̠,kànè̠ka̠,t.o.d
matar/cazar,ujtö́kwa̠,ujtèwa̠,kö́twa̠,ujtéwa̠,,kö́te̠wa̠,t.o.d
parar/erguir/embarazar,dawö́kka̠,dawèka̠,dùka̠,dawéka̠,dùrka̠,dùnè̠ka̠,t.o.d
poner (pantalones),iö́kka̠,ièka̠,ië'ka̠,iéka̠,"ië̀rka̠ ",ië̀ne̠ka̠,t.o.d
poner (ropa/zapatos),iö́kwa̠,ièwa̠,ië'wa̠,iéwa̠,"ië̀rwa̠ ",ië̀ne̠wa̠,t.o.d
poner (sombrero),tchö́kka̠,tchèka̠,tchë'ka̠,tchéka̠,tchë̀rka̠,tchë̀ne̠ka̠,t.o.d
sacar,yö́ktsa̠,yètsa̠,yë'tsa̠,yétsa̠,"yë̀rtsa̠ ",yë̀nètsa̠,t.o.d
sacar,yö́kstsa̠,yèstsa̠,yë'stsa̠,yéstsa̠,"yë̀rstsa̠ ",yë̀nèstsa̠,t.o.d
sentar,tchö́krö,tchèrö,tchë'rë,tchére,,,t.o.d
sentar,tchö́kdö,tchède,tchë'dë,tchéde,,,t.o.d
sentar/herir con hacha o machete (S ),tchö́kwa̠,tchèwa̠,tchë'wa̠,tchéwa̠,tchë̀rwa̠,tchë̀ne̠wa̠,t.o.d
elegir,a̠mùkka̠,a̠mèka̠,a̠me'ka̠,a̠méka̠,a̠mèrka̠,a̠mène̠ka̠,t.n.d
encontrar (en un momento específico),kù̠kwa̠,kè̠wa̠,kú̠wa̠,ké̠wa̠,kù̠rwa̠,kù̠ne̠wa̠,t.n.d
entregar,a̠mùktsa̠,a̠mètsa̠,a̠me'tsa̠,a̠métsa̠,a̠mèrtsa̠,a̠mène̠tsa̠,t.n.d
entregar,a̠múkstsa̠,a̠mèstsa̠,a̠me'stsa̠,a̠méstsa̠,a̠mèrstsa̠,a̠mène̠stsa̠,t.n.d
llevar,tsù̠kmi,tsè̠mi,tse̠'mi,tsé̠mi,tsè̠rmi,tsè̠ne̠mi,t.n.d
meter,ti̠ú̠kwa̠,,te̠'wa,,tè̠rwa,tè̠ne̠wa,t.n.d
poner un objeto en el suelo habiéndolo llevado ahí,a̠mùkrö,a̠mèrö,a̠me'rë,a̠mére,a̠mèrrë,a̠mène̠rë,t.n.d
poner un objeto en el suelo habiéndolo llevado ahí,a̠mùkdö,a̠mède,a̠me'dë,a̠méde,a̠mèrdë,a̠mène̠dë,t.n.d
ver (de un momento a otro),sá̠ùkwa̠,su̠wè̠wa̠,sú̠wa̠,su̠wé̠wa̠,sù̠rwa̠,sù̠ne̠wa̠,t.n.d
dormirse,kapö́kwa̠,kapö̀wa̠,kapë'wa̠,kapówa̠,kapë̀rwa̠,kapë̀nè̠wa̠,i.n.d 
escapar/escaparse,tchö́kshka,tchö̀shka,bákshka,tcháshka,,,i.o.d
morir/morirse,dawö́kwa̠,dawö̀wa̠,dúwa̠,dawówa̠,dùrwa̠,dùnè̠wa̠,i.n.d
pasar (ale jándose),tchö́kmi,tchö̀mi,bákmi,tchámi,,,i.o.d
perderse/extraviarse,chö́kwa,chö̀wa,chë'wa,chówa,,,i.o.d
subir,shkö́kka̠,shkö́ka̠,shka'ka̠,shkéka̠,shkàrka̠,shkànè̠ka̠,i.o.d
excavar,biö́k,biè,bi',bé,bìr,bìne̠,t.o.c
